date,loaded,redeemed,outstanding
2024-01-01,63230.98098144662,0.0,63230.98098144662
2024-01-02,38668.411214682295,840.1221741102596,101059.27002201867
2024-01-03,49066.64384516389,1883.955025391544,148241.95884179103
2024-01-04,53499.817772283015,3019.1335981249163,198722.6430159491
2024-01-05,44702.154935211714,5289.587128144907,238135.21082301592
2024-01-06,45948.92054093417,7435.649696249931,276648.48166770017
2024-01-07,43428.33606860459,6683.330599965656,313393.48713633907
2024-01-08,44031.89319563289,8461.484021278236,348963.8963106937
2024-01-09,44283.82518454416,7705.501999115345,385542.2194961225
2024-01-10,41003.02053062234,8688.68718972662,417856.5528370182
2024-01-11,53800.962501274946,14110.658015852867,457546.8573224403
2024-01-12,62834.08871154701,18418.28890084768,501962.65713313967
2024-01-13,54860.425859263494,17884.312893536866,538938.7700988663
2024-01-14,49609.03728302554,12287.765696681001,576260.0416852109
2024-01-15,66171.78670792775,17158.66449882992,625273.1638943087
2024-01-16,40558.86086317944,20276.22746464883,645555.7972928394
2024-01-17,48112.38701994633,24840.516003341938,668827.6683094437
2024-01-18,43729.25502810739,24359.02672841092,688197.8966091402
2024-01-19,64452.83429106894,26919.37848290303,725731.3524173062
2024-01-20,54831.67241919467,29351.04828856159,751211.9765479392
2024-01-21,42954.480661241316,22946.329113837655,771220.1280953429
2024-01-22,43284.015734005014,24490.08655395501,790014.0572753929
2024-01-23,52775.296343890004,23582.108252286653,819207.2453669963
2024-01-24,45797.68791231652,35000.627883913876,830004.3053953989
2024-01-25,47237.42452621094,36956.69081542079,840285.039106189
2024-01-26,56361.00577575695,40922.59131726156,855723.4535646844
2024-01-27,59600.129812239466,37274.24557185178,878049.3378050721
2024-01-28,46511.672452893836,31186.770076288787,893374.2401816772
2024-01-29,50026.29791978371,33091.73592414773,910308.8021773131
2024-01-30,48645.50930455322,33174.72310917133,925779.588372695
2024-01-31,61147.60988600673,38726.26303681893,948200.9352218828
2024-02-01,64807.81104146475,39235.80797893967,973772.9382844078
2024-02-02,56039.457401342646,46747.42576609128,983064.9699196592
2024-02-03,51398.14469704882,51399.633565605065,983063.481051103
2024-02-04,48580.4284118556,34566.30913233639,997077.6003306222
2024-02-05,55253.20515463632,30058.21647046415,1022272.5890147943
2024-02-06,46181.909800876056,36813.76942904536,1031640.729386625
2024-02-07,43329.939813776415,36896.09334576584,1038074.5758546356
2024-02-08,46269.75210895177,36459.351955900594,1047884.9760076867
2024-02-09,65293.53694205911,56850.656002198666,1056327.856947547
2024-02-10,62784.0226462203,62953.4770919934,1056158.402501774
2024-02-11,48798.14461336559,41863.20826892013,1063093.3388462195
2024-02-12,45139.199572830876,40105.499940427246,1068127.0384786231
2024-02-13,48775.710033838215,45079.67519384443,1071823.073318617
2024-02-14,49240.754712045535,41909.082041743204,1079154.7459889194
2024-02-15,71720.19754023445,45244.93789096807,1105630.005638186
2024-02-16,67920.06368469873,46302.081634815266,1127247.9876880695
2024-02-17,59752.77776363243,59242.746092426394,1127758.0193592755
2024-02-18,50238.93801378532,39428.66667963485,1138568.290693426
2024-02-19,49921.83541998282,36739.77067244102,1151750.3554409677
2024-02-20,49736.09872569005,41917.86485793022,1159568.5893087275
2024-02-21,53040.79327112988,44359.30155634364,1168250.0810235138
2024-02-22,43994.943049836555,56643.884201282504,1155601.1398720678
2024-02-23,59610.13455473697,59649.52655197521,1155561.7478748297
2024-02-24,55661.05068175326,59690.63456500744,1151532.1639915756
2024-02-25,43419.50276710831,41783.05572270025,1153168.6110359835
2024-02-26,48496.64271232144,43407.7015839517,1158257.5521643532
2024-02-27,58177.50882504746,42406.221660453724,1174028.839328947
2024-02-28,44852.53013765844,41151.30517898704,1177730.0642876185
